vsim work.Taylor_Functions_Top_tb
# Function =           cos(x), Func = 10, x =             0.75, XBus = c000
# RBus = 0bb50 (47952), expected = 0bb50 (47952)
# PASS
# --------------------------------------------------
# Function =           cos(x), Func = 10, x =            0.875, XBus = e000
# RBus = 0a419 (42009), expected = 0a419 (42009)
# PASS
# --------------------------------------------------
# Function =           cos(x), Func = 10, x =              1.0, XBus = ffff
# RBus = 08a53 (35411), expected = 08a53 (35411)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =                0, XBus = 0000
# RBus = 00000 (0), expected = 00000 (0)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =           0.0625, XBus = 1000
# RBus = 00f85 (3973), expected = 00f85 (3973)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =            0.125, XBus = 2000
# RBus = 01e27 (7719), expected = 01e27 (7719)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =             0.25, XBus = 4000
# RBus = 03920 (14624), expected = 03920 (14624)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =            0.375, XBus = 6000
# RBus = 05185 (20869), expected = 05185 (20869)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =              0.5, XBus = 8000
# RBus = 067d0 (26576), expected = 067d0 (26576)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =            0.625, XBus = a000
# RBus = 07c6f (31855), expected = 07c6f (31855)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =             0.75, XBus = c000
# RBus = 0901d (36893), expected = 0901d (36893)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =            0.875, XBus = e000
# RBus = 0a4ac (42156), expected = 0a4ac (42156)
# PASS
# --------------------------------------------------
# Function =          ln(1+x), Func = 11, x =              1.0, XBus = ffff
# RBus = 0bede (48862), expected = 0bede (48862)
# PASS
# ==================================================
# FINAL TEST SUMMARY
# Passed tests = 40
# Failed tests = 0
# Total tests  = 40
# FINAL RESULT: ALL TESTS PASSED
# ==================================================
# ** Note: $stop    : D:/I_do_know/Programs/Tools/Modelsim/examples/KNTU/DS_Taylor_Project/Taylor_Functions_Top_tb.v(197)
#    Time: 12436 ns  Iteration: 0  Instance: /Taylor_Functions_Top_tb
# Break at D:/I_do_know/Programs/Tools/Modelsim/examples/KNTU/DS_Taylor_Project/Taylor_Functions_Top_tb.v line 197
